Year,Sum of IndicatorValue,AggregationLabel,IndicatorName,Gender,Ethnicity,AgeGrp,IMD,Locality,Sum of LowerCI95,Sum of UpperCI95
2014,9.15,Frankley Great Park,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,9.15,9.15
2014,10.719999999999999,Frankley Great Park,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,9.98,11.48
2014,10.719999999999999,Frankley Great Park,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,9.98,11.48
2014,11.8,Garretts Green,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,11.8,11.8
2014,10.2,Garretts Green,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,10.2,10.2
2014,11.61,Garretts Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,10.469999999999999,12.91
2014,11.61,Garretts Green,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,10.469999999999999,12.91
2014,9.63,Glebe Farm & Tile Cross,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,9.63,9.64
2014,8.55,Glebe Farm & Tile Cross,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,8.54,8.55
2014,12.41,Glebe Farm & Tile Cross,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,11.620000000000001,13.25
2014,12.41,Glebe Farm & Tile Cross,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,11.620000000000001,13.25
2014,11.1,Gravelly Hill,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,11.1,11.1
2014,10.3,Gravelly Hill,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,10.3,10.3
2014,10.91,Gravelly Hill,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,9.83,12.129999999999999
2014,10.91,Gravelly Hill,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,9.83,12.129999999999999
2014,12,Hall Green North,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,12,12
2014,10.3,Hall Green North,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,10.3,10.3
2014,17.290000000000003,Hall Green North,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,16.46,18.28
2014,17.290000000000003,Hall Green North,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,16.46,18.28
2014,12.8,Hall Green South,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,12.8,12.8
2014,11,Hall Green South,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,11,11
2014,8.92,Hall Green South,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,8.030000000000001,9.93
2014,8.92,Hall Green South,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q3,Central,8.030000000000001,9.93
2014,12.5,Handsworth,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,12.5,12.5
2014,9.93,Handsworth,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,9.93,9.93
2014,48.7,Handsworth,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,46.199999999999996,51.4
2014,48.7,Handsworth,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,46.199999999999996,51.4
2014,12.4,Handsworth Wood,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,12.4,12.4
2014,10.5,Handsworth Wood,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,10.5,10.5
2014,43.5,Handsworth Wood,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,41.6,45.300000000000004
2014,43.5,Handsworth Wood,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,West,41.6,45.300000000000004
2014,11.7,Harborne,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,11.7,11.7
2014,10.4,Harborne,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,10.4,10.4
2014,8.36,Harborne,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,7.75,9.05
2014,8.36,Harborne,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,South,7.75,9.05
2014,9.31,Heartlands,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,9.31,9.31
2014,7.79,Heartlands,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,7.79,7.79
2014,24.599999999999998,Heartlands,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,22.91,26.39
2014,24.599999999999998,Heartlands,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,22.91,26.39
2014,12,Highter's Heath,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,12,12
2014,10.5,Highter's Heath,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,10.5,10.5
2014,9.58,Highter's Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,8.729999999999999,10.56
2014,9.58,Highter's Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,8.729999999999999,10.56
2014,11.3,Holyhead,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.3,11.3
2014,9.46,Holyhead,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,9.46,9.46
2014,45,Holyhead,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,42.400000000000006,47.699999999999996
2014,45,Holyhead,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,42.400000000000006,47.699999999999996
2014,12.9,King's Norton North,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,12.9,12.9
2014,10.5,King's Norton North,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,10.5,10.5
2014,9.44,King's Norton North,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,8.71,10.299999999999999
2014,9.44,King's Norton North,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,8.71,10.299999999999999
2014,9.87,King's Norton South,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,9.87,9.87
2014,9.11,King's Norton South,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,9.11,9.11
2014,14.06,King's Norton South,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,13.16,15.01
2014,14.06,King's Norton South,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,13.16,15.01
2014,10.4,Kingstanding,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,10.4,10.4
2014,9.14,Kingstanding,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,9.14,9.15
2014,14.02,Kingstanding,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,13.1,15
2014,14.02,Kingstanding,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,13.1,15
2014,11.3,Ladywood,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.3,11.3
2014,10.3,Ladywood,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,10.3,10.3
2014,10.5,Ladywood,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,9.72,11.37
2014,10.5,Ladywood,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,9.72,11.37
2014,12,Longbridge & West Heath,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,12,12
2014,9.9,Longbridge & West Heath,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,9.9,9.91
2014,11.569999999999999,Longbridge & West Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,10.969999999999999,12.25
2014,11.569999999999999,Longbridge & West Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,10.969999999999999,12.25
2014,12.9,Lozells,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,12.9,12.9
2014,8.41,Lozells,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,8.4,8.41
2014,39.39,Lozells,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,36.94,41.93
2014,39.39,Lozells,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,36.94,41.93
2014,11.4,Moseley,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,Central,11.4,11.4
2014,10.5,Moseley,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,Central,10.5,10.5
2014,11.549999999999999,Moseley,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,Central,10.9,12.280000000000001
2014,11.549999999999999,Moseley,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,Central,10.9,12.280000000000001
2014,10.2,Nechells,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,10.2,10.2
2014,8.24,Nechells,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,8.24,8.24
2014,21.619999999999997,Nechells,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,19.99,23.39
2014,21.619999999999997,Nechells,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,19.99,23.39
2014,11.4,Newtown,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.4,11.4
2014,9.84,Newtown,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,9.84,9.85
2014,32.31,Newtown,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,30.160000000000004,34.75
2014,32.31,Newtown,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,30.160000000000004,34.75
2014,11,North Edgbaston,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,11,11
2014,9.85,North Edgbaston,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,9.85,9.85
2014,18.26,North Edgbaston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,17.2,19.37
2014,18.26,North Edgbaston,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,17.2,19.37
2014,11.6,Northfield,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,11.6,11.6
2014,10.7,Northfield,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,10.7,10.7
2014,7.829999999999999,Northfield,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,7.13,8.66
2014,7.829999999999999,Northfield,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,South,7.13,8.66
2014,11.5,Oscott,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.5,11.5
2014,10.4,Oscott,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,10.4,10.4
2014,11.67,Oscott,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,10.79,12.620000000000001
2014,11.67,Oscott,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,10.79,12.620000000000001
2014,11.8,Perry Barr,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,11.8,11.8
2014,10.2,Perry Barr,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,10.2,10.2
2014,22.810000000000002,Perry Barr,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,21.479999999999997,24.189999999999998
2014,22.810000000000002,Perry Barr,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q2,West,21.479999999999997,24.189999999999998
2014,10.6,Perry Common,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,10.6,10.6
2014,9.16,Perry Common,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,9.16,9.17
2014,11.08,Perry Common,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,10.030000000000001,12.239999999999998
2014,11.08,Perry Common,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,10.030000000000001,12.239999999999998
2014,10.8,Pype Hayes,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,North,10.8,10.8
2014,9.31,Pype Hayes,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,North,9.31,9.31
2014,11.51,Pype Hayes,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,North,10.43,12.73
2014,11.51,Pype Hayes,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,North,10.43,12.73
2014,12.4,Quinton,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,12.4,12.4
2014,10.6,Quinton,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,10.6,10.6
2014,10.95,Quinton,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,10.200000000000001,11.77
2014,10.95,Quinton,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,10.200000000000001,11.77
2014,11.7,Rubery & Rednal,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,South,11.7,11.7
2014,10.8,Rubery & Rednal,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,South,10.8,10.8
2014,7.21,Rubery & Rednal,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,South,6.57,7.8999999999999995
2014,7.21,Rubery & Rednal,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,South,6.57,7.8999999999999995
2014,10.4,Shard End,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,10.4,10.4
2014,9.25,Shard End,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,9.25,9.25
2014,7.44,Shard End,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,6.6499999999999995,8.350000000000001
2014,7.44,Shard End,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,6.6499999999999995,8.350000000000001
2014,11,Sheldon,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,11,11
2014,10.2,Sheldon,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,10.2,10.2
2014,13.28,Sheldon,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,12.37,14.270000000000001
2014,13.28,Sheldon,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,12.37,14.270000000000001
2014,12.6,Small Heath,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,12.6,12.6
2014,10,Small Heath,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,10,10
2014,25.78,Small Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,24.5,27.22
2014,25.78,Small Heath,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,East,24.5,27.22
2014,10,Soho & Jewellery Quarter,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,West,10,10
2014,9.01,Soho & Jewellery Quarter,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,West,9.01,9.01
2014,30.25,Soho & Jewellery Quarter,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,West,28.79,31.85
2014,30.25,Soho & Jewellery Quarter,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,Q1,West,28.79,31.85
2014,11.7,South Yardley,Cancer & Aging: Healthy life expectancy (female),Female,NULL,65+ yrs,NULL,East,11.7,11.7
2014,10.9,South Yardley,Cancer & Aging: Healthy life expectancy (male),Male,NULL,65+ yrs,NULL,East,10.9,10.9
2014,11.13,South Yardley,Cardiovascular: Prevalance of diabetes type 2,Persons,NULL,40-64 yrs,NULL,East,9.95,12.43
